"id","admin_report_id","parameter_name","label","data_type","created_at","updated_at","deleted_at","created_by","updated_by","deleted_by","query_parameter","input_field_type","option_type","option","order_no"
"28","12","managerName","Manager Name","string","2025-08-04 08:41:30.828075","","","1","","","###ManagerName###","SelectBox","query","{""raw_query"":""select label, value, sort_order from (select 'All' as label, '#99#' as value, 0 as sort_order union select label, label as value, ROW_NUMBER () OVER (ORDER BY label) as sort_order from (select distinct manager_name as label from vr_inactive_user_info) a) as t order by sort_order, label""}",""
"29","12","organisation","Organisation","string","2025-08-04 08:41:30.828075","","","1","","","###Organisation###","SelectBox","query","{""raw_query"":""select label, value, sort_order from (select 'All' as label, '#99#' as value, 0 as sort_order union select label, label as value, ROW_NUMBER () OVER (ORDER BY label) as sort_order from (select distinct organisation as label from vr_inactive_user_info) a) as t order by sort_order, label""}",""
"30","12","vertical","Vertical","string","2025-08-04 08:41:30.828075","","","1","","","###Vertical###","SelectBox","query","{""raw_query"":""select label, value, sort_order from (select 'All' as label, '#99#' as value, 0 as sort_order union select label, label as value, ROW_NUMBER () OVER (ORDER BY label) as sort_order from (select distinct vertical as label from vr_inactive_user_info) a) as t order by sort_order, label""}",""
"31","12","department","Department","string","2025-08-04 08:41:30.828075","","","1","","","###Department###","SelectBox","query","{""raw_query"":""select label, value, sort_order from (select 'All' as label, '#99#' as value, 0 as sort_order union select label, label as value, ROW_NUMBER () OVER (ORDER BY label) as sort_order from (select distinct department as label from vr_inactive_user_info) a) as t order by sort_order, label""}",""
"32","12","branch","Branch","string","2025-08-04 08:41:30.828075","","","1","","","###Branch###","SelectBox","query","{""raw_query"":""select label, value, sort_order from (select 'All' as label, '#99#' as value, 0 as sort_order union select label, label as value, ROW_NUMBER () OVER (ORDER BY label) as sort_order from (select distinct branch as label from vr_inactive_user_info) a) as t order by sort_order, label""}",""
"222","26","policyPeriodStart","Policy Period Start","date","2026-05-08 12:04:29.721841","2026-05-08 12:04:29.721841","","SYSTEM","SYSTEM","","###policyPeriodStart###","input","none","{}","3"
"33","12","designation","Designation","string","2025-08-04 08:41:30.828075","","","1","","","###Designation###","SelectBox","query","{""raw_query"":""select label, value, sort_order from (select 'All' as label, '#99#' as value, 0 as sort_order union select label, label as value, ROW_NUMBER () OVER (ORDER BY label) as sort_order from (select distinct designation as label from vr_inactive_user_info) a) as t order by sort_order, label""}",""
"34","5","lookupName","Name","string","2025-08-04 08:47:51.941755","","","1","","","###Name###","SelectBox","query","{""raw_query"":""select label, value, sort_order from (select 'All' as label, '#99#' as value, 0 as sort_order union select label, label as value, ROW_NUMBER () OVER (ORDER BY label) as sort_order from (select distinct lookup_name as label from vr_lookup_info) a) as t order by sort_order, label""}",""
"37","14","organisation_name","Organisation Name","string","2025-08-04 09:18:05.215886","","","1","","","###OrganisationName###","SelectBox","query","{""raw_query"":""select label, value, sort_order from (select 'All' as label, '#99#' as value, 0 as sort_order union select label, label as value, ROW_NUMBER () OVER (ORDER BY label) as sort_order from (select distinct organisation_name as label from vr_org_branch) a) as t order by sort_order, label""}",""
"35","13","organisation_name","Organisation Name","string","2025-08-04 09:20:15.311934","","","1","","","###OrganisationName###","SelectBox","query","{""raw_query"":""select label, value, sort_order from (select 'All' as label, '#99#' as value, 0 as sort_order union select label, label as value, ROW_NUMBER () OVER (ORDER BY label) as sort_order from (select distinct organisation_name as label from vr_org_vertical_department) a) as t order by sort_order, label""}",""
