S No,Library_Name,Version,Ecosystem,Recommended Version,License,Dependency_Type,Vulnerabilities,Project,Path
115,@babel/plugin-syntax-logical-assignment-operators,7.10.4,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
116,find-up,7.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
117,dom-serializer,2.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
118,@formatjs/intl-localematcher,0.6.2,npm,,,Transitive,0,package-lock.json,package-lock.json
119,@babel/plugin-transform-unicode-sets-regex,7.28.6,npm,,,Transitive,0,package-lock.json,package-lock.json
120,typedoc-plugin-markdown,3.17.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
121,character-entities-html4,2.1.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
122,@babel/plugin-syntax-numeric-separator,7.10.4,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
123,@babel/plugin-transform-explicit-resource-management,7.28.6,npm,,,Transitive,0,package-lock.json,package-lock.json
124,@module-federation/dts-plugin,2.2.1,npm,,,Transitive,0,package-lock.json,package-lock.json
125,webpack-node-externals,3.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
126,@swc-node/sourcemap-support,0.5.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
127,@mui/core-downloads-tracker,6.5.0,npm,,,Transitive,0,package-lock.json,package-lock.json
128,wbuf,1.7.3,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
129,cli-truncate,2.1.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
130,is-extglob,2.1.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
131,use-sidecar,1.1.3,npm,,,Transitive,0,package-lock.json,package-lock.json
132,@mui/private-theming,7.3.9,npm,,,Transitive,0,package-lock.json,package-lock.json
133,@peculiar/asn1-rsa,2.6.1,npm,,,Transitive,0,package-lock.json,package-lock.json
134,alien-signals,0.4.14,npm,,,Transitive,0,package-lock.json,package-lock.json
135,license-webpack-plugin,4.0.2,npm,,,Transitive,0,package-lock.json,package-lock.json
136,camelize,1.0.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
137,is-localhost-ip,2.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
138,postcss-import,14.1.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
139,flow-parser,0.305.1,npm,,,Transitive,0,package-lock.json,package-lock.json
140,cssstyle,2.3.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
141,@babel/plugin-transform-object-super,7.27.1,npm,,,Transitive,0,package-lock.json,package-lock.json
142,@sindresorhus/is,4.6.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
143,sass-embedded-linux-riscv64,1.98.0,npm,,,Transitive,0,package-lock.json,package-lock.json
144,w3c-xmlserializer,4.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
145,@babel/plugin-transform-for-of,7.27.1,npm,,,Transitive,0,package-lock.json,package-lock.json
146,@codemirror/search,6.6.0,npm,,,Transitive,0,package-lock.json,package-lock.json
147,camelcase,5.3.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
148,@webassemblyjs/utf8,1.13.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
149,@radix-ui/react-portal,1.0.4,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
150,core-js,3.49.0,npm,,,Transitive,0,package-lock.json,package-lock.json
